Iterations,Cost
174,15.75978767840439
175,15.79680772490145
176,15.800981704689725
177,15.796168321114278
178,15.774683544499862
179,15.777075477479132
180,15.791316136648344
181,15.806889002264384
182,15.898037110215677
183,16.044490106208045
184,16.07431013651185
185,15.991008649774818
186,16.32875944673067
187,15.90122236194834
188,16.111714411413754
189,15.989412581974735
190,16.02033460984774
191,16.15948328372334
192,16.27783593492213
193,16.281558271241373
194,16.30926035677781
195,16.170683731011604
196,15.869774121239283
197,15.918766861010392
198,15.978813049555812
199,15.902488639515646
200,15.892155407096917
201,15.993688109404111
202,15.891846901341044
203,15.865186471952471
204,15.883721303650177
205,15.871196849158173
206,15.83524753120169
207,15.822038321855795
208,16.06826057827849
209,16.05216210738353
210,15.97111248672197
211,15.968217618605875
212,16.095000965793346
213,16.20722021938684
214,15.839550907261565
215,15.768695302122163
216,15.813101709072212
217,16.15395887278252
218,16.20671690541979
219,16.20758793572902
220,16.04449219925598
221,16.070675845318583
222,15.984830308295257
223,15.97778409581185
224,16.141167681581607
225,16.07337074330012
226,16.10849676662687
227,16.139357572183208
228,16.072047383242225
229,15.95172810811621
230,15.865632194353608
231,15.768608560711833
232,15.88003980501523
233,15.745986684577945
234,15.826889440030783
235,15.829105701207697
236,15.77277842979474
237,15.721384734380917
238,15.72613093602687
239,15.795254536439845
240,15.794051058800417
241,15.77569960857104
242,16.043401117285015
243,16.07709726265328
244,15.931102207138093
245,16.045921693231644
246,16.04343949374664
247,16.087776859095534
248,16.287137469499083
249,16.187381222224303
250,16.009917798232685
251,16.19155795397307
252,16.134144561503124
253,16.118118519804877
254,16.126537703937203
255,16.18926231269397
256,16.315359879513625
257,16.325402199268286
258,16.35785205582376
259,16.349949879805386
260,16.318312427321967
261,16.390168255366692
262,16.614414578152267
263,16.649736287000536
264,16.656729875055866
265,16.704462223066773
266,16.242626423217825
267,16.25936467378162
268,16.336305893655716
269,16.491340206681258
270,16.511948229034015
271,16.45510834546563
272,16.525801765935267
273,16.540683846323954
274,16.475745617582113
275,16.717146713282535
276,16.714922207817075
277,16.805384728781746
278,16.79320334577457
279,16.15331566446779
280,16.05324495782478
281,16.041903948963792
282,16.11982770221463
283,16.214596396640648
284,16.21422101755136
