Iterations,Cost
345,15.209796016503377
346,15.20939449141244
347,15.208993692620332
348,15.208593618813298
349,15.208194268679945
350,15.20779564091125
351,15.20739773420057
352,15.20700054724362
353,15.20660407873846
354,15.206208327385536
355,15.205813291887617
356,15.205418970949822
357,15.205025363279635
358,15.204632467586851
359,15.204240282583614
360,15.203848806984386
361,15.203458039505968
362,15.203067978867471
363,15.202678623790328
364,15.202289972998289
365,15.201902025217404
366,15.201514779176026
367,15.201128233604823
368,15.20074238723674
369,15.200357238807031
370,15.199972787053225
371,15.19958903071514
372,15.199205968534875
373,15.198823599256801
374,15.19844192162756
375,15.198060934396066
376,15.19768063631349
377,15.19730102613327
378,15.196922102611083
379,15.196543864504873
380,15.19616631057483
381,15.195789439583375
382,15.19541325029518
383,15.195037741477137
384,15.194662911898382
385,15.194288760330279
386,15.193915285546398
387,15.193542486322547
388,15.19317036143673
389,15.192798909669174
390,15.192428129802305
391,15.192058020620767
392,15.191688580911377
393,15.191319809463172
394,15.190951705067352
395,15.190584266517337
396,15.190217492608697
397,15.189851382139201
398,15.18948593390879
399,15.189121146719566
400,15.188757019375812
401,15.188393550683958
402,15.188030739452604
403,15.187668584492508
404,15.187307084616563
405,15.18694623863983
406,15.186586045379498
407,15.186226503654897
408,15.185867612287502
409,15.185509370100917
410,15.185151775920865
411,15.184794828575201
412,15.184438526893898
413,15.184082869709043
414,15.183727855854842
415,15.183373484167607
416,15.183019753485752
417,15.182666662649792
418,15.182314210502348
419,15.181962395888117
420,15.181611217653913
421,15.181260674648605
422,15.180910765723166
423,15.180561489730637
424,15.180212845526139
425,15.179864831966865
426,15.179517447912064
427,15.179170692223066
428,15.178824563763243
429,15.178479061398033
430,15.178134183994928
431,15.177789930423462
432,15.177446299555221
433,15.177103290263823
434,15.176760901424933
435,15.176419131916242
436,15.176077980617475
437,15.175737446410382
438,15.175397528178738
439,15.175058224808332
440,15.17471953518698
441,15.174381458204497
442,15.174043992752706
443,15.173707137725442
444,15.17337089201855
445,15.173035254529838
446,15.172700224159149
447,15.172365799808297
448,15.172031980381071
449,15.17169876478326
450,15.171366151922632
451,15.171034140708919
452,15.170702730053835
453,15.170371918871057
454,15.17004170607623
455,15.169712090586964
456,15.169383071322814
457,15.169054647205304
458,15.168726817157903
459,15.168399580106025
460,15.168072934977031
461,15.16774688070022
462,15.167421416206826
463,15.167096540430027
464,15.166772252304915
465,15.16644855076852
466,15.166125434759786
467,15.165802903219591
468,15.165480955090711
469,15.16515958931784
470,15.164838804847587
471,15.164518600628464
472,15.164198975610883
473,15.163879928747154
474,15.163561458991481
475,15.163243565299963
476,15.162926246630585
477,15.162609501943226
478,15.162293330199628
479,15.161977730363425
480,15.161662701400127
481,15.161348242277104
482,15.161034351963599
483,15.160721029430729
484,15.160408273651452
485,15.160096083600607
486,15.15978445825487
487,15.159473396592775
488,15.159162897594703
489,15.158852960242877
490,15.158543583521364
491,15.158234766416069
492,15.157926507914727
493,15.157618807006914
