Iteration,Training Stump Error (%),Testing Stump Error (%)
217,14.52,15.440000000000001
218,87.48,87.06
219,77.5,77.18
220,11.92,12.479999999999999
221,86.38,86.16
222,25.019999999999996,24.68
223,49.8,50.4
224,31.1,31.78
225,48.16,48.26
226,53.82,53.879999999999995
227,45.58,45.660000000000004
228,59.18,59.8
229,40.22,39.739999999999995
230,86.38,86.16
231,11.92,12.479999999999999
232,69.16,69.34
233,49.4,48.88
234,50.0,50.660000000000004
235,49.4,48.88
236,50.0,50.660000000000004
237,49.4,48.88
238,52.559999999999995,53.400000000000006
239,86.38,86.16
240,11.92,12.479999999999999
241,67.58,67.08
242,47.58,47.44
243,51.82,52.1
244,47.58,47.44
245,18.4,19.12
246,55.08,54.98
247,86.5,86.24000000000001
248,38.78,37.580000000000005
249,86.38,86.16
250,14.52,15.440000000000001
251,58.08,59.28
252,85.02,84.64
253,61.980000000000004,61.44
254,11.799999999999999,12.520000000000001
255,72.14,71.6
256,50.660000000000004,51.66
257,73.72,73.83999999999999
258,11.92,12.479999999999999
259,57.26,57.220000000000006
260,49.08,50.28
261,61.36000000000001,60.88
